icao,cidade,regiao,lat,lon
SSOU,Aripuanã,Centro-Oeste,-10.1855,-59.45783
SSUM,Umuarama,Sul,-23.7987,-53.3138
SSUV,Uniao Da Vitoria,Sul,-26.2334,-51.0678
SSVL,Caarapo,Centro-Oeste,-22.52167,-54.67778
SWBC,Barcelos,Norte,-0.98129,-62.9196
SWBR,Borba,Norte,-4.40634,-59.6024
SWGN,Araguaina,Norte,-7.22787,-48.2405
SWLB,Labrea,Norte,-7.27897,-64.7695
SWMW,Maues,Norte,-3.37217,-57.7248
SWPI,Parintins,Norte,-2.67302,-56.7772
SWYN,Apui,Norte,-7.17287,-59.8396
